Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
View Active Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:04:08,2019-12-01 16:04:54,46.572s,PASSED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 16:04:08,2019-12-01 16:04:47,39.230s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 16:04:08,2019-12-01 16:04:25,16.554s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:04:25,2019-12-01 16:04:27,2.264s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:04:27,2019-12-01 16:04:29,1.896s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 16:04:29,2019-12-01 16:04:36,7.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:04:36,2019-12-01 16:04:47,10.626s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:04:47,2019-12-01 16:04:47,0.315s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:04:47,2019-12-01 16:04:47,0.264s,PASSED
,,,,,,,
Test Cases/View Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:04:47,2019-12-01 16:04:52,5.107s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:04:47,2019-12-01 16:04:48,0.703s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:04:48,2019-12-01 16:04:52,4.305s,PASSED
,,,,,,,
Test Cases/View Active Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:04:52,2019-12-01 16:04:54,1.988s,PASSED
"click(findTestObject(""Object Repository/Page_Dokter/Aktif Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:04:52,2019-12-01 16:04:53,0.340s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dokter/Status Dokter 1""), ""Aktif"")",Chrome 78.0.3904.108,,,2019-12-01 16:04:53,2019-12-01 16:04:54,1.563s,PASSED
