Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 78.0.3904.108,,,2019-12-01 15:52:00,2019-12-01 15:53:02,1m - 2.008s,PASSED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 15:52:01,2019-12-01 15:53:02,1m - 1.675s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 15:52:01,2019-12-01 15:52:25,23.559s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:52:25,2019-12-01 15:52:27,2.416s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:52:27,2019-12-01 15:52:29,1.807s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 15:52:29,2019-12-01 15:52:36,7.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:52:36,2019-12-01 15:53:02,25.959s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:53:02,2019-12-01 15:53:02,0.365s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:53:02,2019-12-01 15:53:02,0.294s,PASSED
