Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:07:51,2019-12-01 16:09:08,1m - 17.188s,PASSED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 16:07:51,2019-12-01 16:08:23,31.723s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 16:07:51,2019-12-01 16:08:17,26.099s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:17,2019-12-01 16:08:19,1.416s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:19,2019-12-01 16:08:19,0.450s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:19,2019-12-01 16:08:20,0.445s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:20,2019-12-01 16:08:22,2.540s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:22,2019-12-01 16:08:23,0.312s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:23,2019-12-01 16:08:23,0.265s,PASSED
,,,,,,,
Test Cases/View Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:08:23,2019-12-01 16:08:27,3.988s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:23,2019-12-01 16:08:24,0.663s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:24,2019-12-01 16:08:27,3.220s,PASSED
,,,,,,,
Test Cases/Add Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:08:27,2019-12-01 16:09:08,41.291s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:27,2019-12-01 16:08:44,17.179s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:44,2019-12-01 16:08:45,1.143s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:45,2019-12-01 16:08:46,0.453s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:46,2019-12-01 16:08:46,0.356s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:46,2019-12-01 16:08:49,2.735s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:49,2019-12-01 16:08:49,0.309s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:49,2019-12-01 16:08:50,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:50,2019-12-01 16:08:50,0.770s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:08:50,2019-12-01 16:08:53,3.065s,PASSED
"click(findTestObject(""Object Repository/Page_Dokter/Add Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:53,2019-12-01 16:08:54,0.316s,PASSED
"NamaDokter = ""Syailendra""",Chrome 78.0.3904.108,,,2019-12-01 16:08:54,2019-12-01 16:08:54,0.001s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Nama Dokter""), NamaDokter)",Chrome 78.0.3904.108,,,2019-12-01 16:08:54,2019-12-01 16:08:56,2.028s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Tanggal Lahir Dokter""), ""06/10/1997"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:56,2019-12-01 16:08:56,0.732s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Identity Card Number""), ""1234567890123456"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:56,2019-12-01 16:08:58,1.291s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/Gender Selection""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:58,2019-12-01 16:08:58,0.346s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/Male""))",Chrome 78.0.3904.108,,,2019-12-01 16:08:58,2019-12-01 16:08:59,0.480s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Consultation Duration""), ""30"")",Chrome 78.0.3904.108,,,2019-12-01 16:08:59,2019-12-01 16:09:00,1.182s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Phone Number""), ""+6281222334455"")",Chrome 78.0.3904.108,,,2019-12-01 16:09:00,2019-12-01 16:09:00,0.599s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Email""), ""Syailendra@gmail.com"")",Chrome 78.0.3904.108,,,2019-12-01 16:09:00,2019-12-01 16:09:01,0.831s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Spesialization""), ""Spesialis Penyakit Dalam"")",Chrome 78.0.3904.108,,,2019-12-01 16:09:01,2019-12-01 16:09:02,0.749s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Poliklinik""), ""Akupuntur"")",Chrome 78.0.3904.108,,,2019-12-01 16:09:02,2019-12-01 16:09:03,0.714s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/div_Simpan""))",Chrome 78.0.3904.108,,,2019-12-01 16:09:03,2019-12-01 16:09:03,0.675s,PASSED
"setText(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), NamaDokter)",Chrome 78.0.3904.108,,,2019-12-01 16:09:03,2019-12-01 16:09:05,1.540s,PASSED
delay(3),Chrome 78.0.3904.108,,,2019-12-01 16:09:05,2019-12-01 16:09:08,3.015s,PASSED
