Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:54:19,2019-12-01 15:55:16,56.752s,PASSED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 15:54:21,2019-12-01 15:55:07,46.338s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 15:54:23,2019-12-01 15:54:56,33.096s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:54:56,2019-12-01 15:54:59,3.089s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:54:59,2019-12-01 15:55:00,1.302s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:00,2019-12-01 15:55:02,2.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:02,2019-12-01 15:55:06,3.845s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:06,2019-12-01 15:55:07,0.429s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:07,2019-12-01 15:55:07,0.348s,PASSED
,,,,,,,
Test Cases/View Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:55:07,2019-12-01 15:55:11,3.868s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:07,2019-12-01 15:55:08,0.690s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:08,2019-12-01 15:55:11,2.906s,PASSED
,,,,,,,
Test Cases/Search Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:55:11,2019-12-01 15:55:16,4.624s,PASSED
"name = ""bdi""",Chrome 78.0.3904.108,,,2019-12-01 15:55:11,2019-12-01 15:55:11,0.001s,PASSED
"setText(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), name)",Chrome 78.0.3904.108,,,2019-12-01 15:55:11,2019-12-01 15:55:12,0.902s,PASSED
delay(3),Chrome 78.0.3904.108,,,2019-12-01 15:55:12,2019-12-01 15:55:15,3.052s,PASSED
"compare_name = getText(findTestObject(""Object Repository/Page_Dokter/Nama Dokter 1"")).toString()",Chrome 78.0.3904.108,,,2019-12-01 15:55:15,2019-12-01 15:55:16,0.371s,PASSED
UpperCaseName = name.toUpperCase(),Chrome 78.0.3904.108,,,2019-12-01 15:55:16,2019-12-01 15:55:16,0.001s,PASSED
if (compare_name.contains(name) == true),Chrome 78.0.3904.108,,,2019-12-01 15:55:16,2019-12-01 15:55:16,0.001s,PASSED
else if (compare_name.contains(UpperCaseName) == true),Chrome 78.0.3904.108,,,2019-12-01 15:55:16,2019-12-01 15:55:16,0.012s,PASSED
